 C/C++ Programming, Calculus 1, Calculus 2, Critical Thinking, Digital Logic Design, Digital Logic Design Laboratory, Discrete Mathematics, Introduction to Computing, Object-Oriented Programming, Physics 1, Writing AE1, Algorithms & Data Structures
34,59,60,69,58,56,0,59,49,42,65,0
0,81,56,67,29,54,0,60,23,66,65,0
74,69,77,81,77,68,76,80,59,76,59,1
67,58,67,58,59,72,51.5,51,58,50,54,1
60,93,75,69,90,67,75,72,75,90,59,1
26,65,45,61,15,85,0,42,47,45,54,1
60,53,61,73,52,66,54,66,60,71,62,1
74,73,76,56,64,66,71,71,78,67,61,1
57,52,62,58,59,75,40,58,35,52,0,0
67,50,74,59,72,80,57,72,52,51,55,1
61,71,83,80,59,78,68,75,72,53,69,1
71,59,57,77,73,60,63,61,69,53,63,1
69,60,50,59,80,85,50,63,59,80,54,1
73,86,85,64,72,96,76,67,96,62,70,1
89,87,91,68,95,94,83,71,92,71,56,1
77,72,91,50,90,80,65,63,53,51,64,1
85,66,87,80,96,99,78,90,87,89,61,1
74,90,92,67,78,91,70,61,76,96,50,1
78,88,68,63,90,80,72,62,74,61,70,1
58,63,57,68,74,94,52,52,51,59,68,1
71,53,52,55,60,88,53,63,62,51,51,1
75,85,79,60,67,94,78,64,94,59,70,1
77,59,90,76,72,81,76,76,65,63,63,1
60,68,68,55,66,71,62,59,65,55,65,1
78,58,72,81,74,93,63,69,61,50,64,1
58,0,59,70,67,70,61,58,57,61,61,1
100,93,97,86,99,100,96,98,95,93,82,1
100,98,98,73,91,100,87,90,91,95,76,1
99,98,85,75,100,93,76,95,86,94,69,1
92,79,75,76,97,100,92,89,99,83,75,1
76,86,95,72,78,93,94,96,91,84,82,1
92,88,90,77,87,96,85,84,86,86,76,1
50,67,64,74,85,98,78,67,50,59,61,1
87,91,86,86,89,88,85,92,87,73,67,1
66,78,76,50,52,62,53,54,50,52,56,1
64,58,59,63,68,80,61,63,63,52,51,1
53,73,59,66,56,92,60,59,55,74,52,1
52,73,67,75,52,86,54,72,60,52,68,1
70,68,69,75,71,88,61,70,75,66,61,1
81,84,87,83,72,83,77,92,79,81,77,1
63,76,87,56,83,82,74,76,54,57,71,1
78,84,77,71,91,97,84,86,70,95,63,1
64,52,64,59,61,96,73,68,72,63,53,1
57,71,83,77,84,90,77,83,65,67,81,1
61,74,82,65,57,83,57,78,55,67,74,1
73,67,80,71,50,85,74,71,53,56,50,1
82,76,86,74,77,93,64,85,82,60,70,1
83,57,68,59,54,70,85,75,56,60,71,1
84,59,53,60,59,52,71,77,84,63,55,1
62,69,69,75,78,97,76,71,64,56,60,1
66,58,72,61,50,94,67,56,65,63,57,1
71,70,57,76,66,94,66,67,65,74,66,1
63,81,63,70,76,69,69,65,76,51,58,1
80,56,59,69,57.5,73.5,51,59,50,74,70,1
56,68,60,63,69,83,72,72,68,70,61,1
54,53,61,68,51,88,67,74,55,68,62,1
63,51,67,65,51,84,56,70,64,53,68,1
53,64,63,65,55,63,64,84,68,58,77,1
64,68,86,79,87,94,69,77,59,59,78,1
87,91,66,74,66,80,87,85,82,73,72,1
80,68,69,65,61,85,57,77,63,72,64,1
57,77,75,79,60,82,59,75,61,42,70,1
68,71,72,68,71,85,60,76,71,56,70,1
57,73,76,74,51,84,78,83,63,66,61,1
57,66,72,62,69,84,67,61,53,55,57,1
90,85,78,65,83,100,81,95,81,61,67,1
85,89,85,82,96,94,76,93,72,62,84,1
60,55,86,58,76,88,34,62,59,56,72,1
