@relation pivot

@attribute ' C/C++ Programming' numeric
@attribute ' Calculus 1' numeric
@attribute ' Calculus 2' numeric
@attribute ' Critical Thinking' numeric
@attribute ' Digital Logic Design' numeric
@attribute ' Digital Logic Design Laboratory' numeric
@attribute ' Discrete Mathematics' numeric
@attribute ' Introduction to Computing' numeric
@attribute ' Object-Oriented Programming' numeric
@attribute ' Physics 1' numeric
@attribute ' Writing AE1' numeric
@attribute ' Algorithms & Data Structures' numeric

@data
68,57,75,81,68,77,68,71,59,64,73,65
50,83,68,79,65,96,62,63,50,59,61,69
63,64,58,50,61,55,71,50,53,76,60,70
67,100,90,81,82,70,73,69,74,82,69,76
52,63,50,63,36,55,63,44,46,45,62,31
60,83,86,77,73,71,81,68,78,66,73,67
62,91,88,79,80,94,86,75,85,66,64,91
73,71,89,76,73,77,78,83,80,76,77,57
55,84,67,60,51,72,77,58,51,59,70,54
53,67,71,63,51,96,50,53,67,51,63,71
64,70,63,58,67,85,77,53,58,67,54,70
57,50,78,73,50,76,71,52,59,53,63,18
88,85,56,62,59,96,75,60,80,61,54,73
50,53,54,59,58,74,78,80,52,55,73,52
73,97,100,83,94,89,92,75,86,94,65,84
54,0,54,66,0,0,0,85,58,77,57,58
68,85,65,75,89,78,84,78,72,72,68,77
23,0,54,50,26,24,0,47,18,30,34,0
65,0,73,69,56,100,0,72,84,78,62,80
77,0,92,69,87,86,0,86,81,77,71,78
50,0,55,66,75,59,0,76,46,62,57,35
60,0,18,31,47,51,0,72,61,5,48,0
61,0,27,71,58,59,0,71,74,41,62,62
77,90,82,73,72,71,0,73,65,79,64,56
87,97,100,70,85,69,0,84,89,88,70,70
61,58,78,70,59,77,0,59,60,50,57,71
51,0,38,66,35,66,0,63,36,33.5,58,65
73,72,83,72,67,63,0,81,70,74,73,74
54,24,32,60,40,70,0,67,50,27,78,47
33,52,35,4,2,25,0,49,17,0,23,0
45,55,19,51,51,84,0,74,45,45,55,56
85,53,76,69,76,71,0,71,61,54,65,39
50,82,56,75,65,90,0,66,70,59,56,62
55,66,66,72,62,90,0,73,77,60,74,57
67,87,88,86,87,100,0,84,87,76,88,87
50,65,77,77,59,74,0,68,40,54,63,39
69,53,59,71,66,69,0,74,64,61,66,0
47,52,55,49,0,24,0,58,24,62,0,0
51,47,54,58,65,54,0,66,54,51,52,32
86,0,83,79,78,82,0,89,85,94,71,80
